iata;icao;name;runways;longest;elevation;country;region;city;lat;lon
TRG;NZTG;Tauranga Airport;5;5988;13;NZ;NZ-BOP;Tauranga;-37.6719017028809;176.195999145508
BHE;NZWB;Woodbourne Airport;3;4675;109;NZ;NZ-MBH;Blenheim;-41.5182991027832;173.869995117188
WHK;NZWK;Whakatane Airport;3;4200;20;NZ;NZ-BOP;Whakatane;-37.9206008911133;176.914001464844
WRE;NZWR;Whangarei Airport;2;3599;133;NZ;NZ-NTL;Whangarei;-35.7682991027832;174.365005493164
WAG;NZWU;Wanganui Airport;1;4521;27;NZ;NZ-MWT;Wanganui;-39.9622001647949;175.024993896484
HLD;ZBLA;Dongshan Airport;1;8530;2169;CN;CN-15;Hailar;49.2050018311;119.824996948
TAE;RKTN;Daegu Airport;2;9039;116;KR;KR-27;Daegu;35.8941001892;128.658996582
YKS;UEEE;Yakutsk Airport;2;11155;325;RU;RU-SA;Yakutsk;62.0932998657227;129.77099609375
MWX;RKJB;Muan International Airport;1;9186;51;KR;KR-U-A;Gwangju;34.991406;126.382814
CJJ;RKTU;Cheongju International Airport;2;9000;191;KR;KR-43;Cheongju;36.7165985107;127.499000549
IKT;UIII;Irkutsk Airport;1;10384;1675;RU;RU-IRK;Irkutsk;52.2680015563965;104.388999938965
UUD;UIUU;Ulan-Ude Airport (Mukhino);3;9780;1690;RU;RU-BU;Ulan Ude;51.8078002929688;107.438003540039
KJA;UNKL;Yemelyanovo Airport;1;12150;942;RU;RU-KYA;Krasnoyarsk;56.1729011535645;92.4933013916016
FNJ;ZKPY;Sunan International Airport;2;12475;117;KP;KP-PYO;Pyongyang;39.2240982055664;125.669998168945
LHW;ZLLL;Lanzhou Zhongchuan Airport;1;11811;6388;CN;CN-62;Lanzhou;36.5152015686;103.620002747
LXA;ZULS;Lhasa Gonggar Airport;2;13123;11713;CN;CN-54;Lhasa;29.2978000641;90.9119033813
HRB;ZYHB;Taiping Airport;1;10500;457;CN;CN-23;Harbin;45.6234016418457;126.25
JMU;ZYJM;Jiamusi Airport;1;7218;262;CN;CN-23;Jiamusi;46.8433990479;130.464996338
MDG;ZYMD;Mudanjiang Hailang International Airport;1;8530;883;CN;CN-23;Mudanjiang;44.5241012573;129.569000244
NDG;ZYQQ;Qiqihar Sanjiazi Airport;1;8530;477;CN;CN-23;Qiqihar;47.2396011352539;123.917999267578
YNJ;ZYYJ;Yanji Chaoyangchuan Airport;1;8530;624;CN;CN-22;Yanji;42.8828010559;129.451004028
JGS;ZSJA;Jinggangshan Airport;1;10499;281;CN;CN-36;Ji'an;26.8568992615;114.736999512
TLC;MMTO;Licenciado Adolfo Lopez Mateos International Airport;1;13780;8466;MX;MX-MEX;Toluca;19.3370990753;-99.5660018921
LBE;KLBE;Arnold Palmer Regional Airport;2;7001;1199;US;US-PA;Latrobe;40.27590179;-79.40480042
ORH;KORH;Worcester Regional Airport;2;7000;1009;US;US-MA;Worcester;42.2672996520996;-71.8757019042969
PBG;KPBG;Plattsburgh International Airport;1;11758;234;US;US-NY;Plattsburgh;44.6509017944336;-73.4681015014648
TCB;MYAT;Treasure Cay Airport;1;7001;8;BS;BS-MH;Treasure Cay;26.745300293;-77.3912963867
GHB;MYEM;Governor's Harbour Airport;1;8024;26;BS;BS-GH;Governor's Harbour;25.2847003937;-76.3310012817
ZSA;MYSM;San Salvador Airport;1;8000;24;BS;BS-SR;San Salvador;24.0632991790771;-74.5240020751953
AXM;SKAR;El Eden Airport;1;7045;3990;CO;CO-QUI;Armenia;4.45278;-75.7664
YQM;CYQM;Greater Moncton International Airport;2;10001;232;CA;CA-NB;Moncton;46.1122016906738;-64.678596496582
YTZ;CYTZ;Billy Bishop Toronto City Centre Airport;3;3988;252;CA;CA-ON;Toronto;43.6274986267;-79.3962020874
AOO;KAOO;Altoona Blair County Airport;2;5466;1503;US;US-PA;Altoona;40.29639816;-78.31999969
BGM;KBGM;Greater Binghamton/Edwin A Link field;2;7100;1636;US;US-NY;Binghamton;42.20869827;-75.97979736
